民國,總數,有罪,科刑人數,死刑,無期徒刑,有期徒刑,6月以下,逾6月－1年未滿,1年－2年未滿,2年－3年未滿,3年－5年未滿,5年－7年未滿,7年－10年未滿,10年－15年以下,逾15年,拘役,罰金,免除其刑,無罪,免訴,不受理,其他,純製賣運輸-總數,純製賣運輸-有罪,純製賣運輸-科刑人數,純製賣運輸-死刑,純製賣運輸-無期徒刑,純製賣運輸-有期徒刑,純製賣運輸-6月以下,純製賣運輸-逾6月-1年未滿,純製賣運輸-1年-2年未滿,純製賣運輸-2年-3年未滿,純製賣運輸-3年-5年未滿,純製賣運輸-5年-7年未滿,純製賣運輸-7年-10年未滿,純製賣運輸-10年-15年以下,純製賣運輸-逾15年,純製賣運輸-拘役,純製賣運輸-罰金,純製賣運輸-免刑,純製賣運輸-無罪,純製賣運輸-免訴,純製賣運輸-不受理,純製賣運輸-其他,製賣運輸兼施用-總數,製賣運輸兼施用-有罪,製賣運輸兼施用-科刑人數,製賣運輸兼施用-死刑,製賣運輸兼施用-無期徒刑,製賣運輸兼施用-有期徒刑,製賣運輸兼施用-6月以下,製賣運輸兼施用-逾6月-1年未滿,製賣運輸兼施用-1年-2年未滿,製賣運輸兼施用-2年-3年未滿,製賣運輸兼施用-3年-5年未滿,製賣運輸兼施用-5年-7年未滿,製賣運輸兼施用-7年-10年未滿,製賣運輸兼施用-10年-15年以下,製賣運輸兼施用-逾15年,製賣運輸兼施用-拘役,製賣運輸兼施用-罰金,製賣運輸兼施用-免刑,製賣運輸兼施用-無罪,製賣運輸兼施用-免訴,製賣運輸兼施用-不受理,製賣運輸兼施用-其他,持有-總數,持有-有罪,持有-科刑人數,持有-死刑,持有-無期徒刑,持有-有期徒刑,持有-6月以下,持有-逾6月-1年未滿,持有-1年-2年未滿,持有-2年-3年未滿,持有-3年-5年未滿,持有-5年-7年未滿,持有-7年-10年未滿,持有-10年-15年以下,持有-逾15年,持有-拘役,持有-罰金,持有-免刑,持有-無罪,持有-免訴,持有-不受理,持有-其他
94,11 ,9 ,9 , - , - ,9 , - , - ,2 ,4 ,3 , - , - , - , - , - , - , - ,1 , - ,1 , - ,11 ,9 ,9 , - , - ,9 , - , - ,2 ,4 ,3 , - , - , - , - , - , - , - ,1 , - ,1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
95,35 ,31 ,31 , - , - ,30 ,6 , - ,6 ,1 ,7 ,8 ,2 , - , - , - ,1 , - ,3 , - ,1 , - ,24 ,22 ,22 , - , - ,21 , - , - ,3 ,1 ,7 ,8 ,2 , - , - , - ,1 , - ,1 , - ,1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
96,25 ,21 ,21 , - , - ,21 ,2 ,1 ,11 ,2 ,5 , - , - , - , - , - , - , - ,3 , - ,1 , - ,17 ,13 ,13 , - , - ,13 , - ,1 ,5 ,2 ,5 , - , - , - , - , - , - , - ,3 , - ,1 , - ,1 ,1 ,1 , - , - ,1 , - , - ,1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
97,28 ,24 ,24 , - , - ,24 ,2 ,2 ,8 ,3 ,7 ,2 , - , - , - , - , - , - ,4 , - , - , - ,21 ,18 ,18 , - , - ,18 , - , - ,7 ,2 ,7 ,2 , - , - , - , - , - , - ,3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
98,39 ,36 ,36 , - , - ,36 ,3 , - ,9 ,7 ,16 , - ,1 , - , - , - , - , - ,3 , - , - , - ,34 ,32 ,32 , - , - ,32 , - , - ,8 ,7 ,16 , - ,1 , - , - , - , - , - ,2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
99,54 ,44 ,44 , - , - ,44 ,5 ,1 ,13 ,10 ,14 ,1 , - , - , - , - , - , - ,5 , - ,5 , - ,49 ,40 ,40 , - , - ,40 ,2 ,1 ,13 ,10 ,13 ,1 , - , - , - , - , - , - ,4 , - ,5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,3 ,3 ,3 , - , - ,3 ,3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
100,66 ,57 ,57 , - , - ,57 ,6 ,1 ,15 ,16 ,16 ,3 , - , - , - , - , - , - ,9 , - , - , - ,52 ,48 ,48 , - , - ,48 ,1 , - ,14 ,15 ,16 ,2 , - , - , - , - , - , - ,4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,10 ,5 ,5 , - , - ,5 ,4 ,1 , - , - , - , - , - , - , - , - , - , - ,5 , - , - , - 
101,84 ,69 ,69 , - , - ,69 ,7 ,5 ,24 ,16 ,15 ,2 , - , - , - , - , - , - ,15 , - , - , - ,73 ,60 ,60 , - , - ,60 , - ,4 ,23 ,16 ,15 ,2 , - , - , - , - , - , - ,13 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,7 ,6 ,6 , - , - ,6 ,5 ,1 , - , - , - , - , - , - , - , - , - , - ,1 , - , - , - 
102,78 ,68 ,68 , - , - ,68 ,9 ,5 ,22 ,17 ,12 ,3 , - , - , - , - , - , - ,7 , - ,3 , - ,62 ,55 ,55 , - , - ,55 ,2 ,1 ,21 ,17 ,11 ,3 , - , - , - , - , - , - ,5 , - ,2 , - ,1 ,1 ,1 , - , - ,1 , - , - , - , - ,1 , - , - , - , - , - , - , - , - , - , - , - ,12 ,11 ,11 , - , - ,11 ,7 ,4 , - , - , - , - , - , - , - , - , - , - , - , - ,1 , - 
103,45 ,35 ,35 , - , - ,35 ,4 ,1 ,13 ,11 ,6 , - , - , - , - , - , - , - ,9 , - ,1 , - ,40 ,31 ,31 , - , - ,31 , - ,1 ,13 ,11 ,6 , - , - , - , - , - , - , - ,8 , - ,1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,4 ,4 ,4 , - , - ,4 ,4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
104,30 ,25 ,25 , - , - ,25 ,4 , - ,8 ,6 ,6 ,1 , - , - , - , - , - , - ,5 , - , - , - ,19 ,15 ,15 , - , - ,15 , - , - ,6 ,5 ,4 , - , - , - , - , - , - , - ,4 , - , - , - ,3 ,3 ,3 , - , - ,3 , - , - ,1 ,1 ,1 , - , - , - , - , - , - , - , - , - , - , - ,4 ,3 ,3 , - , - ,3 ,3 , - , - , - , - , - , - , - , - , - , - , - ,1 , - , - , - 
