縣市別,犯罪原因,發生數,破獲數,破獲率
福建省,重大竊盜,1.0,1.0,100.0
　金門縣,普通竊盜,72.0,68.0,94.44
　金門縣,機車竊盜,25.0,23.0,92.0
　金門縣,汽車竊盜,5.0,5.0,100.0
　金門縣,總計,103.0,97.0,94.17
　金門縣,重大竊盜,1.0,1.0,100.0
　連江縣,普通竊盜,10.0,8.0,80.0
　連江縣,機車竊盜,1.0,1.0,100.0
　連江縣,汽車竊盜,0.0,0.0,0.0
　連江縣,總計,11.0,9.0,81.82
　連江縣,重大竊盜,0.0,0.0,0.0
署所屬機關,普通竊盜,504.0,385.0,0.0
署所屬機關,機車竊盜,39.0,44.0,0.0
署所屬機關,汽車竊盜,11.0,30.0,0.0
署所屬機關,總計,556.0,463.0,0.0
署所屬機關,重大竊盜,2.0,4.0,0.0
