民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,274,56,133,0,103,3,11,2,7,52,19
76,0,1,340,60,97,0,80,3,13,0,15,150,16
77,0,0,401,77,47,0,78,1,14,2,59,284,33
78,0,0,325,72,43,0,73,2,7,1,17,205,25
79,0,0,328,76,43,1,92,4,7,1,21,184,37
80,0,0,436,86,38,1,139,2,10,0,22,172,49
81,0,0,438,100,48,0,131,3,16,4,22,168,59
82,0,0,517,106,41,0,141,1,23,3,42,216,65
83,0,0,559,103,43,0,152,0,25,6,44,257,84
84,0,0,532,143,47,1,134,0,34,12,32,269,93
85,0,0,46,176,35,1,123,1,18,6,76,365,95
86,0,0,732,178,60,0,130,2,19,1,117,415,106
87,0,0,604,146,36,0,153,4,20,2,73,334,92
88,0,0,890,1146,1178,3,151,2,40,8,94,640,209
89,0,1,3090,7324,9690,1,278,10,60,5,371,2331,812
90,0,0,4682,10454,13144,2,302,10,54,7,292,3025,1113
91,0,0,5498,14846,15470,1,299,7,80,15,327,3038,1811
92,0,0,5274,10823,11953,0,291,16,100,6,297,2113,1748
93,0,0,5459,9304,8594,1,151,6,74,6,230,1634,1623
94,0,0,6663,10649,8950,1,152,10,79,16,222,1642,1925
95,0,0,7810,11449,9437,0,127,5,122,17,216,1900,2513
96,0,0,11436,18806,10838,1,125,13,129,45,612,2136,3427
97,0,0,12366,18635,12865,1,128,11,143,8,622,2249,4425
98,0,0,13562,15330,17007,0,163,9,148,9,740,2412,5177
99,0,0,14563,14530,14239,1,137,14,149,14,906,2335,5277
100,0,0,17080,13129,13699,3,108,9,189,10,884,2322,6060
101,0,0,21406,13252,12816,2,125,13,195,6,732,2212,7529
102,0,0,31713,7480,9036,2,152,8,200,31,762,2199,7739
103,0,0,69237,790,903,8,163,6,213,28,1151,3536,12333
