民國,死刑,無期徒刑,有期徒刑,二月未滿,二月以上六月未滿,六月以上一年未滿,一年以上二年未滿,二年以上三年未滿,三年,三年以上五年未滿,五年以上七年未滿,七年以上十年未滿,十年以上十五年以下,十五年以上,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,5478,0,4720,669,87,1,1,0,0,0,0,0,10,7146,5,144,9,7,1,0,無資料,147
76,0,0,9746,0,7351,2224,168,3,0,0,0,0,0,0,3,8310,0,328,13,20,0,20,無資料,262
77,0,0,10509,23,6164,4153,167,2,0,0,0,0,0,0,6,9334,1,297,10,12,0,542,無資料,332
78,0,0,12675,6,5689,6852,125,3,0,0,0,0,0,0,4,10446,1,360,16,17,7,988,無資料,442
79,0,0,6902,6,2961,3839,91,5,0,0,0,0,0,0,2,12473,3,270,26,17,0,293,無資料,265
80,0,0,8164,58,6105,1861,140,0,0,0,0,0,0,0,7,26423,5,197,22,51,8,249,無資料,365
81,0,0,13511,14,12009,1427,59,2,0,0,0,0,0,0,9,40466,10,394,84,80,29,142,無資料,606
82,0,0,12168,14,10839,1248,62,4,1,0,0,0,0,0,8,22191,25,531,92,57,4,64,無資料,750
83,0,0,12687,6,10886,1095,700,0,0,0,0,0,0,0,8,22427,3,539,46,48,2,24,無資料,806
84,0,0,11091,6,10260,765,56,4,0,0,0,0,0,0,30,22907,10,734,64,60,3,32,1733,888
85,0,0,9859,10,9323,481,45,0,0,0,0,0,0,0,16,22715,6,448,89,54,1,20,1806,791
86,0,0,10388,6,9938,387,57,0,0,0,0,0,0,0,9,22535,14,643,69,45,2,4,1204,963
87,0,0,8072,1,7753,268,46,3,1,0,0,0,0,0,7,15938,0,891,63,54,6,8,1138,806
88,0,0,7118,2,6838,257,20,1,0,0,0,0,0,0,9,13411,19,999,44,41,7,6,938,638
89,0,0,4710,2,4535,129,41,3,0,0,0,0,0,0,12,10375,6,829,37,26,8,22,772,412
90,0,0,3558,3,3435,98,21,1,0,0,0,0,0,0,17,7558,0,932,43,46,5,19,605,331
91,0,0,2501,1,2433,50,17,0,0,0,0,0,0,0,22,4830,0,730,36,29,3,14,504,265
92,0,0,2594,0,2515,61,12,4,0,2,0,0,0,0,11,4795,4,994,35,25,10,14,700,200
93,0,0,2198,0,2144,42,12,0,0,0,0,0,0,0,7,2834,0,331,28,21,2,11,439,191
94,0,0,1901,0,1854,32,14,1,0,0,0,0,0,0,11,2859,0,234,13,9,7,20,441,128
95,0,0,3040,0,2975,35,29,1,0,0,0,0,0,0,19,3807,0,138,18,10,2,17,790,197
96,0,0,3130,0,3096,22,11,1,0,0,0,0,0,0,23,4775,0,243,17,34,1,34,571,240
97,0,0,3719,0,3650,49,18,2,0,0,0,0,0,0,10,4777,0,319,5,26,4,44,662,352
98,0,0,3697,0,3663,24,10,0,0,0,0,0,0,0,14,4990,1,118,9,17,2,37,684,378
99,0,0,4009,0,3974,23,10,2,0,0,0,0,0,0,9,4361,0,641,14,17,2,95,723,430
100,0,0,4491,0,4450,23,15,3,0,0,0,0,0,0,9,4299,0,131,6,16,0,134,767,494
101,0,0,4926,0,4869,36,19,2,0,0,0,0,0,0,12,4808,0,107,3,16,4,122,767,633
102,0,0,4580,0,4542,21,17,0,0,0,0,0,0,0,4,4451,0,125,8,14,1,92,616,622
103,0,0,4556,0,4537,16,2,1,0,0,0,0,0,0,5,4264,0,143,7,20,4,95,616,681
104,0,0,3694,0,3664,17,13,0,0,0,0,0,0,0,5,4383,0,95,12,15,9,114,無資料,598
