民國,死刑,無期徒刑,有期徒刑,二月未滿,二月以上六月未滿,六月以上一年未滿,一年以上二年未滿,二年以上三年未滿,三年,三年以上五年未滿,五年以上七年未滿,七年以上十年未滿,十年以上十五年以下,十五年以上,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,2,2,183,0,0,0,2,18,14,16,89,36,8,0,0,0,0,38,6,154,0,3,,31
76,0,0,172,0,0,0,6,22,14,14,63,42,11,0,0,0,0,46,2,169,2,2,,33
77,1,1,235,0,0,6,19,44,29,28,77,27,5,0,0,0,0,48,0,129,0,3,,37
78,3,0,152,0,0,1,7,20,17,19,59,26,3,0,0,0,0,28,2,119,1,3,,44
79,4,2,198,0,0,0,2,23,8,15,93,43,13,1,0,0,0,24,0,114,0,3,,53
80,2,0,209,0,0,0,3,23,16,25,78,45,19,0,0,0,0,33,0,94,1,11,,44
81,1,1,178,0,1,0,5,22,15,13,73,36,13,0,0,0,0,39,0,123,2,9,,40
82,1,1,183,0,0,0,3,15,12,8,92,43,10,0,0,0,0,31,1,76,2,38,,43
83,1,1,195,0,0,0,5,24,9,13,94,30,20,0,0,0,0,31,0,120,0,9,,53
84,0,1,216,0,1,0,2,21,10,32,83,50,14,3,0,0,0,20,1,150,1,6,7,50
85,0,1,203,0,0,1,4,27,21,10,73,41,26,0,0,0,0,41,2,139,0,10,11,50
86,3,0,280,0,0,0,4,41,24,19,95,57,34,6,0,0,0,43,1,194,0,19,16,55
87,2,0,210,0,0,0,4,19,22,15,76,48,25,1,0,0,0,52,2,211,2,11,10,41
88,0,1,196,0,0,0,1,23,11,27,67,42,22,3,0,0,0,47,1,177,1,15,6,45
89,1,1,189,0,0,1,6,16,13,40,53,42,17,1,0,0,0,48,0,101,0,72,7,34
90,1,1,267,0,3,1,18,22,10,67,43,78,24,1,0,0,0,54,1,48,0,121,18,35
91,0,6,299,0,4,9,21,29,6,81,40,75,31,3,0,0,0,41,0,11,1,138,41,42
92,1,6,384,0,3,2,28,35,14,107,41,116,35,3,0,0,0,70,1,17,3,180,43,71
93,1,0,352,0,3,5,28,32,18,127,30,72,37,0,0,0,0,56,1,14,2,144,34,44
94,0,7,474,0,6,10,35,39,0,169,49,122,40,4,0,0,0,58,1,14,12,195,57,47
95,0,3,554,0,6,8,53,45,0,209,53,139,33,8,0,0,0,68,0,16,6,161,73,66
96,0,0,549,0,18,9,51,57,0,162,54,159,39,0,0,0,0,49,0,8,6,167,85,56
97,0,4,635,0,12,9,51,69,0,236,54,175,27,2,0,0,0,76,0,11,3,219,116,64
98,0,4,665,0,0,10,75,76,0,251,49,172,29,3,0,0,0,85,0,13,4,178,130,102
99,0,3,677,0,1,4,79,50,0,265,49,195,33,1,0,0,0,97,1,12,4,160,108,82
100,1,3,751,0,1,0,77,82,0,300,39,225,26,1,0,0,0,74,0,15,8,160,115,100
101,0,2,850,0,0,2,88,88,0,336,51,266,19,0,0,0,0,105,0,14,7,169,138,113
102,0,2,835,0,0,2,103,90,0,322,49,235,33,1,0,0,0,131,1,22,4,176,145,111
103,1,1,666,0,2,2,102,110,0,209,31,195,15,0,0,0,0,129,0,9,4,184,174,80
104,1,0,589,0,1,8,90,80,0,230,29,140,11,0,0,0,0,98,1,7,3,137,,77
