民國,死刑,無期徒刑,有期徒刑,二月未滿,二月以上六月未滿,六月以上一年未滿,一年以上二年未滿,二年以上三年未滿,三年,三年以上五年未滿,五年以上七年未滿,七年以上十年未滿,十年以上十五年以下,十五年以上,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,2816,1,1510,541,484,170,54,39,12,5,0,0,215,696,21,3725,527,742,255,18,無資料,237
76,0,0,2481,4,1304,520,443,113,46,39,11,1,0,0,151,492,32,3219,377,475,278,52,無資料,251
77,0,0,2247,66,1439,357,291,63,22,6,3,0,0,0,180,307,2,3061,373,430,275,62,無資料,261
78,0,0,1875,57,1236,271,233,52,12,13,1,0,0,0,205,253,1,2613,290,386,223,54,無資料,282
79,0,0,2025,22,1231,384,291,70,8,13,5,1,0,0,198,230,0,2519,213,476,229,36,無資料,324
80,0,0,2385,89,1509,400,299,61,11,14,1,1,0,0,173,250,0,3078,215,613,259,24,無資料,318
81,0,0,2512,44,1518,489,355,70,17,17,2,0,0,0,169,289,0,3337,329,526,234,52,無資料,323
82,0,0,2297,29,1318,471,346,86,9,29,9,0,0,0,165,302,1,3482,283,691,281,49,無資料,351
83,0,0,2644,7,1480,563,432,102,29,23,6,2,0,0,182,213,0,4199,315,793,316,26,無資料,391
84,0,0,2864,1,1524,635,466,161,29,36,12,0,0,0,214,234,0,4446,485,742,417,34,無資料,422
85,0,0,3246,4,1725,643,628,149,21,65,8,3,0,0,291,245,3,5021,590,900,522,29,無資料,461
86,0,0,3783,4,2012,729,744,180,46,46,22,0,0,0,328,297,0,5317,637,862,389,32,無資料,461
87,0,0,3592,2,1762,766,754,197,35,53,22,1,0,0,330,284,1,5082,580,742,386,43,無資料,448
88,0,0,3195,0,1530,643,722,178,28,65,28,1,0,0,281,226,1,4736,353,702,332,39,無資料,388
89,0,0,2722,0,1287,579,596,168,31,53,8,0,0,0,296,172,0,3658,359,579,424,47,無資料,347
90,0,0,2532,0,1409,423,500,133,26,35,6,0,0,0,319,86,0,2871,246,684,367,53,無資料,279
91,0,0,2127,0,1242,336,374,93,23,49,6,4,0,0,354,150,1,2228,240,509,378,47,無資料,315
92,0,0,2555,0,1583,342,427,128,31,35,9,0,0,0,442,57,0,1913,233,514,291,50,無資料,395
93,0,0,2954,0,1996,326,443,111,26,41,9,2,0,0,522,42,2,1156,252,430,169,30,無資料,494
94,0,0,4601,0,3432,401,514,140,0,96,18,0,0,0,654,36,0,658,256,315,54,80,933,816
95,0,0,7717,0,6310,451,662,154,0,122,18,0,0,0,1056,33,3,599,365,421,37,87,1099,1528
96,0,0,12164,0,10520,506,818,201,0,97,22,0,0,0,1792,33,0,701,424,357,51,159,1645,2182
97,0,0,14493,0,13247,634,263,215,0,121,12,1,0,0,2875,42,0,896,560,467,20,256,1893,2536
98,0,0,15188,0,13929,680,295,165,0,104,14,1,0,0,3958,70,2,1191,553,414,22,476,2842,2710
99,0,0,11641,0,10475,656,293,138,0,70,9,0,0,0,4814,99,1,1076,441,343,10,590,3130,2350
100,0,0,8473,0,7335,665,353,82,0,34,3,0,1,0,3006,56,1,869,289,207,17,324,2312,1701
101,0,0,6587,0,5552,593,291,107,0,37,7,0,0,0,2335,54,0,827,210,202,19,218,1927,1279
102,0,0,6044,0,5076,546,270,83,0,57,10,2,0,0,1899,41,0,950,158,158,12,280,1611,1139
103,0,0,5806,0,4940,468,283,74,0,34,7,0,0,0,1657,44,0,604,131,193,27,288,1444,1198
104,0,0,5820,0,4726,505,511,57,0,19,1,1,0,0,1810,70,5,735,132,151,9,441,無資料,1183
